Year,Month,"Nuclear Generating Units, Total Operable Units","Nuclear Generating Units, Net Summer Capacity",Nuclear Electricity Net Generation,Nuclear Share of Electricity Net Generation,capacity_factor,month_num,date
1994,December,109,99.148,60497,22.4,82.0,12,1994-12-01
1995,January,109,99.148,63342,22.6,85.9,1,1995-01-01
1995,February,109,99.148,51858,20.6,77.8,2,1995-02-01
1995,March,109,99.148,51880,19.9,70.3,3,1995-03-01
1995,April,109,99.148,49321,20.2,69.2,4,1995-04-01
1995,May,109,99.148,54387,20.6,73.7,5,1995-05-01
1995,June,109,99.148,56381,19.7,79.0,6,1995-06-01
1995,July,109,99.515,62037,18.8,83.8,7,1995-07-01
1995,August,109,99.515,61661,17.8,83.3,8,1995-08-01
1995,September,109,99.515,55690,20.1,77.7,9,1995-09-01
1995,October,109,99.515,54293,20.6,73.2,10,1995-10-01
1995,November,109,99.515,52708,20.2,73.6,11,1995-11-01
1995,December,109,99.515,59844,21.0,80.8,12,1995-12-01
1996,January,109,99.515,62942,21.2,85.0,1,1996-01-01
1996,February,110,100.908,55928,20.7,79.7,2,1996-02-01
1996,March,110,100.908,55474,20.2,73.9,3,1996-03-01
1996,April,110,100.908,50325,20.0,69.4,4,1996-04-01
1996,May,110,100.908,55637,19.7,74.1,5,1996-05-01
1996,June,110,100.908,57498,19.0,79.1,6,1996-06-01
1996,July,110,100.908,60953,18.6,81.2,7,1996-07-01
1996,August,110,100.908,61477,18.7,81.9,8,1996-08-01
1996,September,110,100.908,54593,19.3,75.1,9,1996-09-01
1996,October,110,100.908,50612,18.6,67.3,10,1996-10-01
1996,November,110,100.908,52132,19.4,71.8,11,1996-11-01
1996,December,109,100.784,57159,20.1,76.2,12,1996-12-01
1997,January,109,100.784,58914,19.6,78.6,1,1997-01-01
1997,February,109,100.784,50658,19.6,74.8,2,1997-02-01
1997,March,109,100.784,50414,18.5,67.2,3,1997-03-01
1997,April,109,100.784,44883,17.4,61.9,4,1997-04-01
1997,May,109,100.784,47032,17.2,62.7,5,1997-05-01
1997,June,109,100.784,52095,17.4,71.8,6,1997-06-01
1997,July,109,100.784,57352,16.6,76.5,7,1997-07-01
1997,August,107,99.716,61084,18.3,82.3,8,1997-08-01
1997,September,107,99.716,52586,17.5,70.9,9,1997-09-01
1997,October,107,99.716,46981,16.5,63.3,10,1997-10-01
1997,November,107,99.716,51189,18.9,69.0,11,1997-11-01
1997,December,107,99.716,55457,18.7,74.8,12,1997-12-01
1998,January,105,99.716,57889,19.6,78.0,1,1998-01-01
1998,February,105,99.716,50999,19.6,76.1,2,1998-02-01
1998,March,105,99.716,53711,18.7,72.4,3,1998-03-01
1998,April,105,99.716,47503,18.2,66.2,4,1998-04-01
1998,May,105,99.716,51496,17.2,69.4,5,1998-05-01
1998,June,105,99.716,55732,16.9,77.6,6,1998-06-01
1998,July,104,97.07,61499,17.0,85.1,7,1998-07-01
1998,August,104,97.07,60369,16.9,83.6,8,1998-08-01
1998,September,104,97.07,57206,17.9,81.8,9,1998-09-01
1998,October,104,97.07,57429,20.2,79.5,10,1998-10-01
1998,November,104,97.07,57372,21.5,82.1,11,1998-11-01
1998,December,104,97.07,62497,21.0,86.5,12,1998-12-01
1999,January,104,97.502,65689,20.8,90.2,1,1999-01-01
1999,February,104,97.502,57489,20.9,87.4,2,1999-02-01
1999,March,104,97.502,58838,19.7,80.8,3,1999-03-01
1999,April,104,97.502,48529,17.3,68.8,4,1999-04-01
1999,May,104,97.502,56057,18.7,76.9,5,1999-05-01
1999,June,104,97.502,62300,18.9,88.4,6,1999-06-01
1999,July,104,97.502,66815,17.7,92.1,7,1999-07-01
1999,August,104,97.502,68143,18.7,94.1,8,1999-08-01
1999,September,104,97.502,60935,19.9,86.9,9,1999-09-01
1999,October,104,97.502,55343,19.5,76.7,10,1999-10-01
1999,November,104,97.502,60552,22.3,86.6,11,1999-11-01
1999,December,104,97.411,67563,22.9,94.4,12,1999-12-01
2000,January,104,97.411,70762,21.6,93.8,1,2000-01-01
2000,February,104,97.411,64179,21.8,91.0,2,2000-02-01
2000,March,104,97.411,62737,20.8,83.5,3,2000-03-01
2000,April,104,97.411,58259,20.4,80.2,4,2000-04-01
2000,May,104,97.411,63976,19.8,84.8,5,2000-05-01
2000,June,104,97.411,67299,19.8,92.1,6,2000-06-01
2000,July,104,97.411,68972,19.3,95.4,7,2000-07-01
2000,August,104,97.411,67226,18.2,93.8,8,2000-08-01
2000,September,104,97.411,58267,18.6,87.8,9,2000-09-01
2000,October,104,97.411,52470,18.1,76.2,10,2000-10-01
2000,November,104,97.411,56471,19.8,85.0,11,2000-11-01
2000,December,104,97.86,63276,19.8,93.2,12,2000-12-01
2001,January,104,98.159,68707,20.7,94.1,1,2001-01-01
2001,February,104,98.159,61272,21.7,92.9,2,2001-02-01
2001,March,104,98.159,62141,20.7,85.1,3,2001-03-01
2001,April,104,98.159,56003,20.1,79.2,4,2001-04-01
2001,May,104,98.159,61512,20.5,84.2,5,2001-05-01
2001,June,104,98.159,68023,20.8,96.3,6,2001-06-01
2001,July,104,98.159,69166,19.3,94.7,7,2001-07-01
2001,August,104,98.159,68389,18.5,93.7,8,2001-08-01
2001,September,104,98.159,63378,20.6,89.7,9,2001-09-01
2001,October,104,98.159,60461,20.5,82.8,10,2001-10-01
2001,November,104,98.159,62342,22.3,88.2,11,2001-11-01
2001,December,104,98.159,67431,22.1,92.3,12,2001-12-01
2002,January,104,98.657,70926,22.2,96.6,1,2002-01-01
2002,February,104,98.657,61658,21.9,93.0,2,2002-02-01
2002,March,104,98.657,63041,20.8,85.9,3,2002-03-01
2002,April,104,98.657,58437,20.2,82.3,4,2002-04-01
2002,May,104,98.657,63032,20.5,85.9,5,2002-05-01
2002,June,104,98.657,66372,19.5,93.4,6,2002-06-01
2002,July,104,98.657,70421,18.5,95.9,7,2002-07-01
2002,August,104,98.657,70778,18.9,96.4,8,2002-08-01
2002,September,104,98.657,64481,19.5,90.8,9,2002-09-01
2002,October,104,98.657,60493,19.7,82.4,10,2002-10-01
2002,November,104,98.657,61520,20.8,86.6,11,2002-11-01
2002,December,104,98.657,68905,21.2,93.9,12,2002-12-01
2003,January,104,99.209,69211,20.2,93.8,1,2003-01-01
2003,February,104,99.209,60942,20.4,91.4,2,2003-02-01
2003,March,104,99.209,59933,19.7,81.2,3,2003-03-01
2003,April,104,99.209,56776,19.9,79.5,4,2003-04-01
2003,May,104,99.209,62202,20.2,84.3,5,2003-05-01
2003,June,104,99.209,64181,19.5,89.9,6,2003-06-01
2003,July,104,99.209,69653,18.6,94.4,7,2003-07-01
2003,August,104,99.209,69024,18.1,93.5,8,2003-08-01
2003,September,104,99.209,63584,19.7,89.0,9,2003-09-01
2003,October,104,99.209,60016,19.6,81.3,10,2003-10-01
2003,November,104,99.209,59600,20.0,83.4,11,2003-11-01
2003,December,104,99.209,68612,20.7,93.0,12,2003-12-01
2004,January,104,99.628,70806,20.4,95.5,1,2004-01-01
2004,February,104,99.628,64102,20.4,92.4,2,2004-02-01
2004,March,104,99.628,63285,20.5,85.4,3,2004-03-01
2004,April,104,99.628,58620,20.2,81.7,4,2004-04-01
2004,May,104,99.628,64917,19.8,87.6,5,2004-05-01
2004,June,104,99.628,67734,19.6,94.4,6,2004-06-01
2004,July,104,99.628,71975,19.1,97.1,7,2004-07-01
2004,August,104,99.628,71068,19.3,95.9,8,2004-08-01
2004,September,104,99.628,65932,19.6,91.9,9,2004-09-01
2004,October,104,99.628,62530,20.0,84.4,10,2004-10-01
2004,November,104,99.628,58941,19.5,82.2,11,2004-11-01
2004,December,104,99.628,68617,20.1,92.6,12,2004-12-01
2005,January,104,99.988,69828,20.4,93.9,1,2005-01-01
2005,February,104,99.988,60947,20.4,90.7,2,2005-02-01
2005,March,104,99.988,61539,19.4,82.7,3,2005-03-01
2005,April,104,99.988,55484,19.2,77.1,4,2005-04-01
2005,May,104,99.988,62970,20.0,84.6,5,2005-05-01
2005,June,104,99.988,66144,18.2,91.9,6,2005-06-01
2005,July,104,99.988,71070,17.7,95.5,7,2005-07-01
2005,August,104,99.988,71382,17.6,96.0,8,2005-08-01
2005,September,104,99.988,66739,19.1,92.7,9,2005-09-01
2005,October,104,99.988,61236,19.4,82.3,10,2005-10-01
2005,November,104,99.988,62913,20.6,87.4,11,2005-11-01
2005,December,104,99.988,71735,20.6,96.4,12,2005-12-01
2006,January,104,100.334,71912,21.9,96.3,1,2006-01-01
2006,February,104,100.334,62616,20.4,92.9,2,2006-02-01
2006,March,104,100.334,63721,20.0,85.4,3,2006-03-01
2006,April,104,100.334,57567,19.3,79.7,4,2006-04-01
2006,May,104,100.334,62776,19.0,84.1,5,2006-05-01
2006,June,104,100.334,68391,18.8,94.7,6,2006-06-01
2006,July,104,100.334,72186,17.6,96.7,7,2006-07-01
2006,August,104,100.334,72016,17.7,96.5,8,2006-08-01
2006,September,104,100.334,66642,20.1,92.3,9,2006-09-01
2006,October,104,100.334,57509,17.9,77.0,10,2006-10-01
2006,November,104,100.334,61392,19.9,85.0,11,2006-11-01
2006,December,104,100.334,70490,21.0,94.4,12,2006-12-01
2007,January,104,100.266,74006,20.9,99.2,1,2007-01-01
2007,February,104,100.266,65225,20.2,96.8,2,2007-02-01
2007,March,104,100.266,64305,20.1,86.2,3,2007-03-01
2007,April,104,100.266,57301,18.9,79.4,4,2007-04-01
2007,May,104,100.266,65025,19.7,87.2,5,2007-05-01
2007,June,104,100.266,68923,19.0,95.5,6,2007-06-01
2007,July,104,100.266,72739,18.5,97.5,7,2007-07-01
2007,August,104,100.266,72751,17.2,97.5,8,2007-08-01
2007,September,104,100.266,67579,19.0,93.6,9,2007-09-01
2007,October,104,100.266,61690,18.5,82.7,10,2007-10-01
2007,November,104,100.266,64899,20.7,89.9,11,2007-11-01
2007,December,104,100.266,71983,20.8,96.5,12,2007-12-01
2008,January,104,100.755,70735,19.5,94.4,1,2008-01-01
2008,February,104,100.755,65130,20.0,92.9,2,2008-02-01
2008,March,104,100.755,64716,19.9,86.3,3,2008-03-01
2008,April,104,100.755,57333,18.7,79.0,4,2008-04-01
2008,May,104,100.755,64826,19.9,86.5,5,2008-05-01
2008,June,104,100.755,70319,18.8,96.9,6,2008-06-01
2008,July,104,100.755,74318,18.4,99.1,7,2008-07-01
2008,August,104,100.755,72617,18.7,96.9,8,2008-08-01
2008,September,104,100.755,67054,19.8,92.4,9,2008-09-01
2008,October,104,100.755,62820,19.7,83.8,10,2008-10-01
2008,November,104,100.755,63408,20.5,87.4,11,2008-11-01
2008,December,104,100.755,72931,21.2,97.3,12,2008-12-01
2009,January,104,101.004,74102,20.9,98.6,1,2009-01-01
2009,February,104,101.004,64227,21.3,94.6,2,2009-02-01
2009,March,104,101.004,67241,21.6,89.5,3,2009-03-01
2009,April,104,101.004,59408,20.5,81.7,4,2009-04-01
2009,May,104,101.004,65395,21.0,87.0,5,2009-05-01
2009,June,104,101.004,69735,20.1,95.9,6,2009-06-01
2009,July,104,101.004,72949,19.6,97.1,7,2009-07-01
2009,August,104,101.004,72245,19.0,96.1,8,2009-08-01
2009,September,104,101.004,65752,20.1,90.4,9,2009-09-01
2009,October,104,101.004,58021,18.9,77.2,10,2009-10-01
2009,November,104,101.004,59069,19.9,81.2,11,2009-11-01
2009,December,104,101.004,70710,20.2,94.1,12,2009-12-01
2010,January,104,101.167,72569,20.1,96.4,1,2010-01-01
2010,February,104,101.167,65245,20.4,96.0,2,2010-02-01
2010,March,104,101.167,64635,20.7,85.9,3,2010-03-01
2010,April,104,101.167,57611,20.0,79.1,4,2010-04-01
2010,May,104,101.167,66658,20.3,88.6,5,2010-05-01
2010,June,104,101.167,68301,18.2,93.8,6,2010-06-01
2010,July,104,101.167,71913,17.6,95.5,7,2010-07-01
2010,August,104,101.167,71574,17.5,95.1,8,2010-08-01
2010,September,104,101.167,69371,20.0,95.2,9,2010-09-01
2010,October,104,101.167,62751,20.4,83.4,10,2010-10-01
2010,November,104,101.167,62655,20.5,86.0,11,2010-11-01
2010,December,104,101.167,73683,20.3,97.9,12,2010-12-01
2011,January,104,101.163,72743,20.0,96.6,1,2011-01-01
2011,February,104,101.163,64789,20.7,95.3,2,2011-02-01
2011,March,104,101.163,65662,20.6,87.2,3,2011-03-01
2011,April,104,101.163,54547,18.0,74.9,4,2011-04-01
2011,May,104,101.163,57013,17.6,75.7,5,2011-05-01
2011,June,104,101.277,65270,17.7,89.5,6,2011-06-01
2011,July,104,101.277,72345,17.3,96.0,7,2011-07-01
2011,August,104,101.347,71339,17.5,94.6,8,2011-08-01
2011,September,104,101.347,66849,19.8,91.6,9,2011-09-01
2011,October,104,101.347,63337,20.5,84.0,10,2011-10-01
2011,November,104,101.347,64474,21.2,88.4,11,2011-11-01
2011,December,104,101.419,71837,21.4,95.2,12,2011-12-01
2012,January,104,101.602,72381,21.3,95.8,1,2012-01-01
2012,February,104,101.602,63847,20.6,90.3,2,2012-02-01
2012,March,104,101.602,61729,20.0,81.7,3,2012-03-01
2012,April,104,101.602,55871,18.9,76.4,4,2012-04-01
2012,May,104,101.625,62081,18.4,82.1,5,2012-05-01
2012,June,104,101.625,65140,18.1,89.0,6,2012-06-01
2012,July,104,101.747,69129,16.7,91.3,7,2012-07-01
2012,August,104,101.856,69602,17.6,91.8,8,2012-08-01
2012,September,104,101.856,64511,19.3,88.0,9,2012-09-01
2012,October,104,101.856,59743,19.2,78.8,10,2012-10-01
2012,November,104,101.885,56713,18.5,77.3,11,2012-11-01
2012,December,104,101.885,68584,20.5,90.5,12,2012-12-01
2013,January,104,102.206,71406,20.5,93.9,1,2013-01-01
2013,February,103,101.346,61483,19.9,90.3,2,2013-02-01
2013,March,103,101.455,62947,19.3,83.4,3,2013-03-01
2013,April,103,101.603,56767,19.0,77.6,4,2013-04-01
2013,May,102,101.282,62848,19.5,83.3,5,2013-05-01
2013,June,100,99.132,66430,18.6,93.1,6,2013-06-01
2013,July,100,99.132,70539,17.9,95.6,7,2013-07-01
2013,August,100,99.132,71344,18.5,96.7,8,2013-08-01
2013,September,100,99.132,65799,19.3,92.2,9,2013-09-01
2013,October,100,99.132,63184,20.1,85.7,10,2013-10-01
2013,November,100,99.132,64975,20.7,91.0,11,2013-11-01
2013,December,100,99.24,71294,20.2,96.6,12,2013-12-01
2014,January,100,99.182,73163,19.4,99.1,1,2014-01-01
2014,February,100,99.182,62639,19.3,94.0,2,2014-02-01
2014,March,100,99.182,62397,18.8,84.5,3,2014-03-01
2014,April,100,99.182,56385,18.9,78.8,4,2014-04-01
2014,May,100,99.182,62947,19.4,85.2,5,2014-05-01
2014,June,100,99.182,68138,19.0,95.4,6,2014-06-01
2014,July,100,99.182,71940,18.6,97.5,7,2014-07-01
2014,August,100,99.182,71129,18.5,96.4,8,2014-08-01
2014,September,100,99.182,67535,19.9,94.6,9,2014-09-01
2014,October,100,99.182,62391,19.8,84.5,10,2014-10-01
2014,November,100,99.182,65140,20.5,91.3,11,2014-11-01
2014,December,99,98.569,73363,21.7,99.6,12,2014-12-01
2015,January,99,98.533,74270,20.6,101.3,1,2015-01-01
2015,February,99,98.533,63461,19.0,95.8,2,2015-02-01
2015,March,99,98.533,64547,19.9,88.0,3,2015-03-01
2015,April,99,98.533,59784,20.3,84.3,4,2015-04-01
2015,May,99,98.533,65827,20.4,89.8,5,2015-05-01
2015,June,99,98.672,68516,18.9,96.4,6,2015-06-01
2015,July,99,98.672,71412,17.8,97.3,7,2015-07-01
2015,August,99,98.672,72415,18.5,98.6,8,2015-08-01
2015,September,99,98.672,66476,19.0,93.6,9,2015-09-01
2015,October,99,98.672,60571,19.4,82.5,10,2015-10-01
2015,November,99,98.672,60264,20.0,84.8,11,2015-11-01
2015,December,99,98.672,69634,21.5,94.9,12,2015-12-01
2016,January,99,98.921,72525,20.6,98.5,1,2016-01-01
2016,February,99,98.921,65638,20.9,95.3,2,2016-02-01
2016,March,99,98.921,66149,21.7,89.9,3,2016-03-01
2016,April,99,98.921,62732,21.4,88.1,4,2016-04-01
2016,May,99,98.921,66576,21.0,90.5,5,2016-05-01
2016,June,99,100.043,67175,18.3,94.2,6,2016-06-01
2016,July,100,100.043,70349,17.1,94.5,7,2016-07-01
2016,August,100,100.043,71526,17.5,96.1,8,2016-08-01
2016,September,100,100.043,65448,18.6,90.9,9,2016-09-01
2016,October,99,99.565,60733,19.4,81.7,10,2016-10-01
2016,November,99,99.565,65179,21.9,90.9,11,2016-11-01
2016,December,99,99.565,71662,20.7,96.7,12,2016-12-01
2017,January,99,99.61,73121,21.2,98.7,1,2017-01-01
2017,February,99,99.61,63560,21.8,95.0,2,2017-02-01
2017,March,99,99.61,65093,20.4,87.8,3,2017-03-01
2017,April,99,99.61,56743,19.2,79.2,4,2017-04-01
2017,May,99,99.61,61313,19.0,82.8,5,2017-05-01
2017,June,99,99.61,67011,18.7,93.5,6,2017-06-01
2017,July,99,99.629,71314,17.6,96.2,7,2017-07-01
2017,August,99,99.629,72384,18.8,97.7,8,2017-08-01
2017,September,99,99.629,68098,20.3,95.0,9,2017-09-01
2017,October,99,99.629,65995,20.7,89.0,10,2017-10-01
2017,November,99,99.629,66618,21.6,92.9,11,2017-11-01
2017,December,99,99.629,73700,21.0,99.4,12,2017-12-01
2018,January,99,99.731,74649,20.0,100.6,1,2018-01-01
2018,February,99,99.731,64790,21.1,96.7,2,2018-02-01
2018,March,99,99.731,67033,20.8,90.3,3,2018-03-01
2018,April,99,99.731,59133,19.6,82.4,4,2018-04-01
2018,May,99,99.731,67320,19.8,90.7,5,2018-05-01
2018,June,99,99.731,69688,18.7,97.1,6,2018-06-01
2018,July,99,99.731,72456,17.6,97.7,7,2018-07-01
2018,August,99,99.731,72282,17.7,97.4,8,2018-08-01
2018,September,98,99.278,64725,18.2,90.3,9,2018-09-01
2018,October,98,99.278,59397,18.3,80.4,10,2018-10-01
2018,November,98,99.433,63954,19.8,89.3,11,2018-11-01
2018,December,98,99.433,71657,20.9,96.9,12,2018-12-01
2019,January,98,99.44,73701,20.5,99.7,1,2019-01-01
2019,February,98,99.44,64715,20.5,96.9,2,2019-02-01
2019,March,98,99.44,65080,19.9,88.0,3,2019-03-01
2019,April,98,99.595,60581,20.4,84.5,4,2019-04-01
2019,May,97,98.922,67124,20.3,90.9,5,2019-05-01
2019,June,97,98.922,68805,19.5,96.7,6,2019-06-01
2019,July,97,98.922,72199,17.6,98.1,7,2019-07-01
2019,August,97,98.922,71911,17.9,97.8,8,2019-08-01
2019,September,96,98.119,66064,18.3,93.1,9,2019-09-01
2019,October,96,98.119,62033,19.4,85.0,10,2019-10-01
2019,November,96,98.119,64125,20.3,90.8,11,2019-11-01
2019,December,96,98.119,73074,21.6,100.1,12,2019-12-01
2020,January,96,98.094,74170,21.7,101.6,1,2020-01-01
2020,February,96,98.094,65911,20.6,96.6,2,2020-02-01
2020,March,96,98.094,63997,20.7,87.7,3,2020-03-01
2020,April,95,97.082,59170,21.1,83.8,4,2020-04-01
2020,May,95,97.082,64338,21.1,89.1,5,2020-05-01
2020,June,95,97.082,67205,19.1,96.1,6,2020-06-01
2020,July,95,97.082,69385,16.9,96.0,7,2020-07-01
2020,August,95,97.082,68982,17.3,95.9,8,2020-08-01
2020,September,94,97.082,65727,19.7,94.6,9,2020-09-01
2020,October,94,97.102,59362,18.9,82.6,10,2020-10-01
2020,November,94,96.501,61760,20.5,88.8,11,2020-11-01
2020,December,94,96.501,69871,20.3,97.3,12,2020-12-01
2021,January,94,96.586,71732,20.5,99.9,1,2021-01-01
2021,February,94,96.586,62954,19.4,97.0,2,2021-02-01
2021,March,94,96.586,63708,20.5,88.7,3,2021-03-01
2021,April,93,95.546,57092,19.5,82.1,4,2021-04-01
2021,May,93,95.546,63394,19.8,89.2,5,2021-05-01
2021,June,93,95.546,66070,17.7,96.0,6,2021-06-01
2021,July,93,95.546,68832,17.0,96.8,7,2021-07-01
2021,August,93,95.546,69471,16.8,97.7,8,2021-08-01
2021,September,93,95.546,64520,18.6,93.8,9,2021-09-01
2021,October,93,95.546,58401,18.2,82.2,10,2021-10-01
2021,November,93,95.546,62749,20.0,91.2,11,2021-11-01
2021,December,93,95.546,70720,21.0,99.5,12,2021-12-01
2022,January,93,95.406,70577,18.9,99.4,1,2022-01-01
2022,February,93,95.406,61852,19.1,96.5,2,2022-02-01
2022,March,93,95.406,63154,19.5,89.0,3,2022-03-01
2022,April,93,95.406,55290,18.2,80.5,4,2022-04-01
2022,May,93,95.427,63382,18.5,89.3,5,2022-05-01
2022,June,92,94.659,65715,17.3,96.4,6,2022-06-01
2022,July,92,94.659,68857,16.3,97.8,7,2022-07-01
2022,August,92,94.659,68897,16.7,97.8,8,2022-08-01
2022,September,92,94.659,63733,18.1,93.5,9,2022-09-01
2022,October,92,94.659,58945,18.8,83.7,10,2022-10-01
2022,November,92,94.659,62041,19.3,91.0,11,2022-11-01
2022,December,92,94.659,69094,19.2,98.1,12,2022-12-01
2023,January,92,94.632,70870,20.4,100.7,1,2023-01-01
2023,February,92,94.632,60807,19.7,95.6,2,2023-02-01
2023,March,92,94.632,62820,19.0,89.2,3,2023-03-01
2023,April,92,94.632,56662,18.9,83.2,4,2023-04-01
2023,May,92,94.632,61473,18.8,87.3,5,2023-05-01
2023,June,92,94.632,64965,18.2,95.3,6,2023-06-01
2023,July,92,95.746,69888,16.4,99.1,7,2023-07-01
2023,August,93,95.746,69744,16.4,97.9,8,2023-08-01
2023,September,93,95.746,65560,18.3,95.1,9,2023-09-01
2023,October,93,95.746,61403,18.6,86.2,10,2023-10-01
2023,November,93,95.746,62258,19.3,90.3,11,2023-11-01
2023,December,93,95.746,68898,19.9,96.7,12,2023-12-01
2024,January,93,95.723,69080,18.2,97.1,1,2024-01-01
2024,February,93,95.723,64584,20.2,96.9,2,2024-02-01
